"latitude","longitude","acq_date","cluster"
-37.654667,148.522354,"1/1/2020",1
-37.654907,148.518417,"1/1/2020",1
-37.664639,148.358932,"1/1/2020",1
-37.652714,148.553848,"1/1/2020",1
-37.621773,149.036484,"1/1/2020",1
-37.622253,149.029205,"1/1/2020",1
-37.665741,148.340683,"1/1/2020",1
-37.649956,148.598221,"1/1/2020",1
-37.685146,148.101822,"1/1/2020",1
-37.669811,148.359375,"1/1/2020",1
-37.67345,148.299118,"1/1/2020",1
-37.68536,148.098129,"1/1/2020",1
-37.672077,148.32193,"1/1/2020",1
-37.610317,149.207535,"1/1/2020",1
-37.666431,148.329208,"1/1/2020",1
-37.672306,148.318146,"1/1/2020",1
-37.632305,148.952972,"1/1/2020",1
-37.633701,148.931763,"1/1/2020",1
-37.628166,149.015701,"1/1/2020",1
-37.653233,148.627777,"1/1/2020",1
-37.615242,149.208115,"1/1/2020",1
-37.627232,149.029709,"1/1/2020",1
-37.669598,148.362885,"1/1/2020",1
-37.627708,149.022583,"1/1/2020",1
-37.67725,148.32254,"1/1/2020",1
-37.675201,148.356308,"1/1/2020",1
-37.675426,148.352631,"1/1/2020",1
-37.676556,148.333969,"1/1/2020",1
-37.6707,148.344742,"1/1/2020",1
-37.667568,148.310257,"1/1/2020",1
-37.673912,148.356125,"1/1/2020",1
-37.675644,148.349014,"1/1/2020",1
-37.695225,148.109772,"1/1/2020",1
-37.637299,148.953537,"1/1/2020",1
-37.637783,148.946228,"1/1/2020",1
-37.681042,148.345856,"1/1/2020",1
-37.680367,148.356857,"1/1/2020",1
-37.680592,148.35318,"1/1/2020",1
-37.638718,148.932114,"1/1/2020",1
-37.680813,148.349564,"1/1/2020",1
-37.676853,148.497299,"1/1/2020",1
-37.658558,148.783646,"1/1/2020",1
-37.676617,148.501022,"1/1/2020",1
-37.659508,148.769012,"1/1/2020",1
-37.659039,148.776321,"1/1/2020",1
-37.653507,148.783234,"1/1/2020",1
-37.675869,148.345337,"1/1/2020",1
-37.659988,148.761627,"1/1/2020",1
-37.693985,148.304642,"1/1/2020",1
-37.704792,148.126038,"1/1/2020",1
-37.705025,148.122131,"1/1/2020",1
-37.693748,148.308456,"1/1/2020",1
-37.676929,148.577682,"1/1/2020",1
-37.677357,148.570969,"1/1/2020",1
-37.6576,148.79837,"1/1/2020",1
-37.678783,148.548477,"1/1/2020",1
-37.662655,148.798737,"1/1/2020",1
-36.650063,147.882584,"1/1/2020",3
-36.589336,147.840408,"1/1/2020",4
-36.589523,147.837509,"1/1/2020",4
-36.562489,147.932709,"1/1/2020",4
-36.58971,147.834503,"1/1/2020",4
-36.487816,147.711105,"1/1/2020",4
-36.487602,147.7146,"1/1/2020",4
-36.482121,147.717194,"1/1/2020",4
-36.48193,147.720291,"1/1/2020",4
-36.482311,147.714066,"1/1/2020",4
-36.482533,147.710464,"1/1/2020",4
-36.451195,147.789032,"1/1/2020",4
-36.44669,147.792282,"1/1/2020",4
-36.424,147.733444,"1/1/2020",4
-36.423779,147.736908,"1/1/2020",4
